"rep","p","THCM_RMSE_adaptive","THCM_RMSE_fixed","THCM_R2_adaptive","THCM_R2_fixed","ICM_RMSE_adaptive","ICM_RMSE_fixed","ICM_R2_adaptive","ICM_R2_fixed","sel_adaptive","sel_fixed","jaccard"
53,15000,0.171102982219443,0.179600055187378,0.788258406046918,0.766705794827808,0.310135944373715,0.311523045668727,0.635269144749779,0.63199928824767,800,992,0.151670951156812
54,15000,0.215502496573833,0.221659568450135,0.657197393400774,0.637329299850364,0.292415868850484,0.294863080104383,0.636043826199339,0.629926479268425,824,1223,0.169046259280411
55,15000,0.19862562215163,0.183226645128153,0.76467547421317,0.799749360989408,0.606428173543423,0.614543494990808,0.331634980507899,0.313626947158173,865,1067,0.240847784200385
56,15000,0.171801339067271,0.167717906891037,0.642135763091324,0.658945269251042,0.308687209923613,0.312316906796291,0.63285224758791,0.624167275249436,818,931,0.169899665551839
57,15000,0.126707716382749,0.142809785762601,0.752635975095926,0.68577093987292,0.56198653779966,0.559200326939884,0.392435277110196,0.398444699165593,755,880,0.172043010752688
58,15000,0.164529937222034,0.161705698826199,0.735893151728752,0.744882382932244,0.269065848256246,0.268204336182242,0.648891642639587,0.651136445053196,729,910,0.231404958677686
59,15000,0.2169822816831,0.226255338828398,0.765002086053414,0.744486921041659,0.541939402218707,0.519638617379942,0.430073415097934,0.47601326003989,861,944,0.165267914783731
60,15000,0.168587899211544,0.17740576036009,0.794176676391984,0.772082735632143,0.673953391885157,0.660389607615517,0.335440752297518,0.361921017745155,848,979,0.177190721649485
61,15000,0.139616013928717,0.132690348394644,0.771020247435583,0.793173929314842,0.428378264401839,0.406759350075615,0.559582615490599,0.602913896140204,789,807,0.17960088691796
62,15000,0.121735228024048,0.137795532220077,0.842016276236223,0.797581560632713,0.568856869605223,0.54619848150922,0.382432926934051,0.430650301109303,816,853,0.186211798152097
63,15000,0.178026046329777,0.168333256321747,0.674518286230984,0.70899573808117,0.507060056346996,0.49979644847528,0.385949977556761,0.403416438684296,882,1052,0.196782178217822
64,15000,0.143685517467564,0.155911664105313,0.856371881764567,0.830889454012806,0.375539396227774,0.362316620278997,0.548682906761623,0.579905217161603,967,924,0.233529028049576
65,15000,0.204093460040632,0.221101943967865,0.699630096355667,0.647480325577222,0.360225780381778,0.352548213978707,0.533947922371697,0.553602345160955,910,1126,0.166093928980527
66,15000,0.145068392738231,0.146760305290687,0.797121283281886,0.792361394552482,0.492637389755738,0.486607479102337,0.425096531488177,0.43908410460291,824,1036,0.15527950310559
67,15000,0.208531334894567,0.215761289542595,0.635480411958462,0.609765841179311,0.332710195045602,0.324344970537443,0.576927039955803,0.597933965026365,827,922,0.156746031746032
68,15000,0.194053233480195,0.181162507122644,0.682648725554984,0.723410860062407,0.585930165418493,0.56851345695262,0.342368241373135,0.380883238932871,771,964,0.157438292194797
69,15000,0.172805554909965,0.169998901444426,0.766009683581134,0.773548752958285,0.406804797055764,0.375861094343967,0.595723305908991,0.654886997203584,793,886,0.191625266146203
70,15000,0.158050075080833,0.191507266336817,0.712716545927509,0.578214432825023,0.375227996246846,0.359473466678268,0.5312438954994,0.569780443784902,911,917,0.176319176319176
71,15000,0.183982276016041,0.197241653836607,0.682579887265614,0.635179076832554,0.527800010224468,0.517015687999104,0.443550309424371,0.466057415696206,845,827,0.175808720112518
72,15000,0.202633999696368,0.215768491050833,0.716863349993644,0.678968606141562,0.415778702317521,0.417000656260441,0.483319808419752,0.480278348328068,876,938,0.204515272244356
73,15000,0.131024936194766,0.115706557436385,0.881872686107713,0.907879060248937,0.428123267027759,0.431940108277147,0.576621816979352,0.569039090959957,778,924,0.166552433173406
74,15000,0.15541368041648,0.159687883895212,0.80938972404857,0.798761185005859,0.640327505374299,0.61683956801803,0.293090821473164,0.344000128270671,759,948,0.141042780748663
75,15000,0.213315849110005,0.221999213417285,0.485915747547966,0.443210645012371,0.445240729629903,0.465692102679362,0.488698485102608,0.440648181727567,1046,1033,0.179239931934203
76,15000,0.167766495473278,0.199885571541071,0.795556858456525,0.709781579965821,0.489969823324649,0.494321417531098,0.377601740946587,0.366497171790104,797,876,0.184005661712668
77,15000,0.146228500367434,0.157059639597263,0.645691754758054,0.591260697136193,0.337944416980041,0.331474215965309,0.61459737036716,0.629213745859177,937,972,0.202898550724638
78,15000,0.148539923896722,0.156536638715918,0.720350669158323,0.689430074106129,0.561939472527199,0.550530306243337,0.352519706767112,0.378544639007117,820,827,0.178954903364352
79,15000,0.164414752317575,0.170289967753966,0.815006150926922,0.801548744874243,0.497727896873264,0.482734380341884,0.370137374551598,0.407513670948692,672,956,0.148095909732017
80,15000,0.173812626505377,0.177613006359281,0.785425377869763,0.775939530015917,0.576354173231337,0.556935029169984,0.399118233338665,0.438927206562736,830,916,0.20997920997921
81,15000,0.159850104938379,0.168772422463269,0.747089654826626,0.718068429239824,0.573354248557921,0.552220393248395,0.376945520902019,0.422030615218485,789,870,0.19438444924406
82,15000,0.1151038264235,0.116642371664999,0.797162744653773,0.791704021207626,0.443951748901004,0.440251599234235,0.490639886020792,0.499095104574277,692,885,0.169881305637982
83,15000,0.173144376075991,0.17992345173281,0.75449998255559,0.734899652966085,0.299281524589631,0.290673717611278,0.612111270724037,0.634102977176183,834,1050,0.172370877411325
84,15000,0.186504908365194,0.192130096658266,0.568429935363391,0.542004107149798,0.435976250598006,0.436365941492282,0.529821981182042,0.528981082264097,797,1017,0.131628197130381
85,15000,0.197724388656681,0.191775497066348,0.722663919413104,0.739101173935376,0.55111970222679,0.551275287631701,0.407076689419929,0.406741868383905,1144,861,0.194874851013111
86,15000,0.151603427493216,0.16327934575003,0.673347597242635,0.6210950141576,0.439319163446828,0.432236921996632,0.46270160057815,0.479885484064342,744,829,0.166913946587537
87,15000,0.185834086621058,0.188534371335287,0.76303124527674,0.756094605531532,0.467851222513026,0.448787282397753,0.428125720122913,0.473781502444136,754,803,0.173323285606631
88,15000,0.177249173093331,0.195904032582526,0.799571592661855,0.755162694388983,0.299021189946827,0.297598060351007,0.650629019963979,0.653946624451541,747,765,0.145454545454545
89,15000,0.157665640406923,0.171176946363593,0.569149939644916,0.492141659525696,0.675854923853067,0.670783140150316,0.300756807133284,0.311212020322572,841,937,0.172823218997361
90,15000,0.174676128858589,0.172336562670119,0.80733876460456,0.812465110644432,0.361097879942591,0.361142159319313,0.570099823277606,0.569994384392162,755,865,0.164629762760604
91,15000,0.16838342938819,0.148441842508045,0.772854556050655,0.8234702109858,0.269665872372128,0.267163330793947,0.730360191632941,0.735341569299628,790,901,0.149558123725357
92,15000,0.188680780307375,0.206266316174963,0.688638043462998,0.627893852465404,0.352967058044541,0.364149439562396,0.602284700745981,0.576685408020194,761,1002,0.155307994757536
93,15000,0.148192770036798,0.168878694626661,0.76511584966061,0.694965187279947,0.392073826071934,0.392677292564303,0.617350062988582,0.616171233343695,960,811,0.203942895989123
94,15000,0.209455038291507,0.212397853129024,0.696293683876732,0.687699667672236,0.351860469142103,0.343959197975537,0.624006693587947,0.640703477446531,971,934,0.166564605021433
95,15000,0.172350923452007,0.174347398829737,0.689456011537139,0.682219794309382,0.3441042418614,0.325648195158001,0.526594851466955,0.576015211757432,827,1024,0.196509372979961
96,15000,0.169957446003745,0.16293064266952,0.663329925587469,0.690593335721113,0.407406033872365,0.399904072095638,0.502732986789235,0.520877694357259,729,1058,0.175657894736842
